Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
 ,1991,131.0,Drama,6.0,25.0,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
Gadhvi (He thought he was Gandhi),2019,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
Homecoming,2021,90.0,"Drama, Musical",6.0,25.0,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
Yaaram,2019,110.0,"Comedy, Romance",4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...And Once Again,2010,105.0,Drama,6.0,25.0,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
...Aur Pyaar Ho Gaya,1997,147.0,"Comedy, Drama, Musical",4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,2005,142.0,"Drama, Romance, War",7.4,1.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
.in for Motion,2008,59.0,Documentary,6.0,25.0,Anirban Datta,Ashok Kumar,Rekha,Pran
?: A Question Mark,2012,82.0,"Horror, Mystery, Thriller",5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,2014,116.0,"Action, Crime, Thriller",4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,2004,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,2016,120.0,Horror,5.9,59.0,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,1991,161.0,"Horror, Romance, Thriller",6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,2012,166.0,"Comedy, Drama, Romance",5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
101 Ratein,1990,131.0,Thriller,6.0,25.0,Harish,Saraswati,Disco Shanti,Pran
102 Not Out,2018,102.0,"Comedy, Drama",7.4,6.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
108 Limited,1991,131.0,Drama,6.0,25.0,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
108 Teerthyatra,1987,131.0,"Comedy, Drama, Fantasy",6.0,25.0,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
10ml LOVE,2010,87.0,"Comedy, Drama, Romance",6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
11 O'Clock,1948,131.0,Drama,6.0,25.0,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
12 Bulbule,2021,131.0,"Comedy, Drama, Family",6.0,25.0,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
12 O'Clock,1958,132.0,"Crime, Drama, Mystery",7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 O'Clock,2021,105.0,"Horror, Thriller",4.4,63.0,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
12 Years,1991,131.0,Biography,6.0,25.0,Sohail Tatari,Ashok Kumar,Rekha,Pran
124a,2021,131.0,Documentary,6.0,25.0,Varrun Sukhraj,Ashok Kumar,Rekha,Pran
127 B,2017,116.0,"Comedy, Horror",6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13 May Gulaabi Nagar,2010,131.0,Action,6.0,25.0,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
13 Tribute of Love,2020,66.0,Drama,6.0,25.0,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
13B: Fear Has a New Address,2009,146.0,"Drama, Horror, Mystery",7.3,6.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
14 Phere,2021,131.0,Comedy,6.0,25.0,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
15 Park Avenue,2005,116.0,Drama,7.1,1.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
150 Seconds Ago,2002,112.0,Drama,6.0,25.0,Batul Mukhtiar,Ashok Kumar,Rekha,Pran
15th August,1993,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16 December,2002,158.0,"Action, Thriller",6.9,1.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,2014,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
1857,1946,131.0,"Drama, History",5.0,8.0,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
19 Revolutions,2004,94.0,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1911,1991,131.0,"Drama, History, Sport",6.0,25.0,Nikkhil Advani,John Abraham,Rekha,Pran
1920,2008,138.0,"Horror, Mystery, Romance",6.4,3.0,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 London,2016,120.0,"Horror, Mystery",4.1,1.0,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920: Evil Returns,2012,124.0,"Drama, Horror, Romance",4.8,1.0,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,2018,144.0,"Horror, Mystery, Romance",4.5,1.0,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942: A Love Story,1994,157.0,"Action, Drama, History",7.2,3.0,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,2007,136.0,"Action, Drama, War",8.1,1.0,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978: A Teen Night Out,2019,107.0,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,2017,113.0,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
19th January,2014,131.0,Drama,7.3,16.0,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
2 Band Radio,2019,131.0,Comedy,6.0,25.0,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
2 GB Ki Life,1991,131.0,Drama,6.0,25.0,Jayant Desai,Ashok Kumar,Rekha,Pran
2 Little Indians,2013,131.0,"Comedy, Family",5.6,14.0,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
2 Nights in Soul Valley,2012,80.0,"Adventure, Horror, Mystery",6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2 October,2003,122.0,"Action, Crime, Thriller",5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 Piece,2005,131.0,Drama,6.0,25.0,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
2 States,2014,149.0,"Comedy, Drama, Romance",6.9,24.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2.0,2018,148.0,"Action, Sci-Fi",6.2,21.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001: Do Hazaar Ek,1998,149.0,"Crime, Mystery, Thriller",3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2006 Varanasi: The Untold,2018,131.0,Drama,6.0,25.0,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
2007 the last encounter,2018,131.0,Drama,6.0,25.0,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
2016 the End,2017,130.0,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
21: Battle of Saragarhi,1991,131.0,War,6.0,25.0,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
22 Days,2018,124.0,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,1979,121.0,"Drama, History",7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,2019,126.0,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,2002,188.0,"Biography, Drama, History",5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
24 Ghante,1998,131.0,Thriller,6.0,25.0,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
25th July,1951,131.0,Drama,7.6,5.0,Chitra Mitra,Ashok Kumar,Rekha,Pran
26 January,1956,131.0,Drama,6.6,7.0,Ramesh Saigal,Ajit,Rekha,Pran
26th January,1956,131.0,Drama,6.0,25.0,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
26th July at Barista,2008,131.0,Drama,3.1,32.0,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
27 Down,1974,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,2014,103.0,"Horror, Romance",5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,2012,114.0,"Comedy, Romance",3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Days 4 Nights in Bihar,2020,131.0,Comedy,6.0,25.0,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
3 Deewarein,2003,115.0,"Crime, Drama",7.8,2.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 Dev,2019,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009,170.0,"Comedy, Drama",8.4,357.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Nights 4 Days,2009,131.0,"Drama, Romance",5.2,23.0,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
3 Shyaane,2020,131.0,Comedy,6.0,25.0,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
3 Storeys,2018,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,2015,99.0,"Adventure, Drama",4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
30 Days,2004,131.0,Horror,5.0,14.0,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
30 Minutes,2016,131.0,Thriller,4.8,26.0,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
31st October,2015,109.0,"Action, Drama, History",5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
340,2009,131.0,Thriller,4.6,9.0,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
36 China Town,2006,140.0,"Comedy, Mystery, Thriller",5.7,4.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981,122.0,"Drama, Romance",7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
36 Ghante,1974,131.0,"Action, Crime, Drama",6.7,128.0,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
376 D,2020,128.0,"Crime, Thriller",5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013,125.0,"Horror, Sci-Fi, Thriller",3.6,1.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
3rd November,2016,131.0,Horror,6.0,25.0,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
4 Sum,1991,96.0,"Crime, Drama, Thriller",6.0,25.0,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
404: Error Not Found,2011,121.0,"Drama, Mystery, Thriller",7.3,2.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
42 Kms.,2009,131.0,"Drama, Sport",3.9,14.0,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
498A-The Wedding Gift,2012,113.0,"Drama, Family, Musical",7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
4pm on the Court,2011,115.0,Sport,6.0,25.0,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
5 Ghantey Mien 5 Crore,2012,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
